niche,demand_type,competition_risk,why_now,recommended_products,target_events,notes
Dog Moms,evergreen,high,High gifting intent + easy personalization,T-Shirt|Mug|Sticker,Evergreen|Back to School|Christmas,Use personalization variants (name/year/role) where possible
Cat Moms,evergreen,high,High gifting intent + easy personalization,T-Shirt|Mug|Sticker,Evergreen|Back to School|Christmas,Use personalization variants (name/year/role) where possible
Teachers,evergreen,high,High gifting intent + easy personalization,T-Shirt|Mug|Sticker,Evergreen|Back to School|Christmas,Use personalization variants (name/year/role) where possible
Nurses,evergreen,high,High gifting intent + easy personalization,T-Shirt|Mug|Sticker,Evergreen|Back to School|Christmas,Use personalization variants (name/year/role) where possible
Book Lovers,evergreen,med,Strong identity niche with repeat meme potential,T-Shirt|Mug|Sticker,Evergreen|Back to School|Christmas,Use personalization variants (name/year/role) where possible
Gamers,evergreen,med,Strong identity niche with repeat meme potential,T-Shirt|Mug|Sticker,Evergreen|Back to School|Christmas,Use personalization variants (name/year/role) where possible
New Moms,seasonal+evergreen,high,High gifting intent + easy personalization,T-Shirt|Mug|Sticker,Mothers Day|Fathers Day|Graduation|Christmas,Use personalization variants (name/year/role) where possible
New Dads,seasonal+evergreen,high,High gifting intent + easy personalization,T-Shirt|Mug|Sticker,Mothers Day|Fathers Day|Graduation|Christmas,Use personalization variants (name/year/role) where possible
Graduation Families,seasonal,high,High gifting intent + easy personalization,T-Shirt|Mug|Sticker,Mothers Day|Fathers Day|Graduation|Christmas,Use personalization variants (name/year/role) where possible
Grandmas/Nanas,seasonal+evergreen,high,High gifting intent + easy personalization,T-Shirt|Mug|Sticker,Mothers Day|Fathers Day|Graduation|Christmas,Use personalization variants (name/year/role) where possible
Coffee Lovers,evergreen,med,Strong identity niche with repeat meme potential,Mug|T-Shirt|Sticker,Evergreen|Back to School|Christmas,Use personalization variants (name/year/role) where possible
Christian Moms,seasonal+evergreen,med,Strong identity niche with repeat meme potential,T-Shirt|Mug|Sticker,Mothers Day|Fathers Day|Graduation|Christmas,Use personalization variants (name/year/role) where possible
